都道府県,総人口,出生数,死亡数,転入者数,転出者数
北海道,5381733 ,36695 ,60667 ,49407 ,57823 
青森県,1308265 ,8621 ,17148 ,18162 ,24755 
岩手県,1279594 ,8814 ,16502 ,18137 ,22430 
宮城県,2333899 ,17999 ,23070 ,50024 ,49813 
秋田県,1023119 ,5861 ,14794 ,11999 ,16473 
山形県,1123891 ,7831 ,14960 ,13634 ,17663 
福島県,1914039 ,14195 ,24205 ,29485 ,31552 
茨城県,2916976 ,21700 ,31025 ,50399 ,58326 
栃木県,1974255 ,15306 ,20519 ,34885 ,38607 
群馬県,1973115 ,14256 ,21519 ,32038 ,32553 
埼玉県,7266534 ,56077 ,62565 ,180451 ,162374 
千葉県,6222666 ,47014 ,56079 ,155892 ,147853 
東京都,13515271 ,113194 ,111673 ,456635 ,372404 
神奈川県,9126214 ,73475 ,75762 ,225815 ,208539 
新潟県,2304264 ,16339 ,28297 ,23008 ,29495 
富山県,1066328 ,7567 ,12731 ,13402 ,14439 
石川県,1154008 ,9072 ,12280 ,19075 ,19445 
福井県,786740 ,6230 ,8971 ,9331 ,11523 
山梨県,834930 ,5987 ,9636 ,13673 ,16459 
長野県,2098804 ,15638 ,24536 ,28777 ,32021 
岐阜県,2031903 ,15464 ,21996 ,29236 ,35809 
静岡県,3700305 ,28352 ,39518 ,55563 ,61952 
愛知県,7483128 ,65615 ,64060 ,127036 ,116518 
三重県,1815865 ,13950 ,20139 ,30612 ,35188 
滋賀県,1412916 ,12622 ,12507 ,27302 ,29403 
京都府,2610353 ,19662 ,25495 ,58586 ,59224 
大阪府,8839469 ,70596 ,83577 ,165515 ,164609 
兵庫県,5534800 ,44015 ,55391 ,93099 ,100465 
奈良県,1364316 ,9832 ,13920 ,24825 ,28781 
和歌山県,963579 ,7030 ,12549 ,11708 ,15525 
鳥取県,573441 ,4624 ,7271 ,9359 ,10890 
島根県,694352 ,5551 ,9604 ,11542 ,12946 
岡山県,1921525 ,15599 ,21525 ,31065 ,33453 
広島県,2843990 ,23678 ,29879 ,49489 ,53923 
山口県,1404729 ,10360 ,18211 ,23048 ,27339 
徳島県,755733 ,5586 ,9847 ,9964 ,12150 
香川県,976263 ,7719 ,11593 ,18847 ,19417 
愛媛県,1385262 ,10146 ,17585 ,18608 ,22431 
高知県,728276 ,5052 ,10020 ,9466 ,11804 
福岡県,5101556 ,45235 ,50259 ,103181 ,102168 
佐賀県,832832 ,7064 ,9702 ,15900 ,18622 
長崎県,1377187 ,11020 ,16855 ,23527 ,29793 
熊本県,1786170 ,15577 ,20692 ,29044 ,33162 
大分県,1166338 ,9112 ,13958 ,19275 ,21775 
宮崎県,1104069 ,9226 ,13494 ,18959 ,22290 
鹿児島県,1648177 ,14125 ,21354 ,27411 ,32120 
沖縄県,1433566 ,16941 ,11326 ,26384 ,26476 
